Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,"Total Traded
Quantity","Turnover
","No. of 
Trades","Deliverable
Qty","% Dly Qt to
Traded Qty"
IRFC,NG,17-May-2017,"1,115.10","1,115.01","1,115.10","1,115.01","1,115.10","1,115.05","1,115.06",2,"2,230.11",2,0,0.00
IRFC,NI,17-May-2017,"1,095.00","1,082.05","1,082.05","1,082.05","1,082.05","1,082.05","1,082.05",65,"70,333.25",1,65,100.00
IRFC,NJ,17-May-2017,"1,148.90","1,128.86","1,148.00","1,128.86","1,134.00","1,134.06","1,132.95",134,"1,51,815.74",5,134,100.00
IRFC,NK,17-May-2017,"1,151.00","1,150.00","1,151.05","1,141.36","1,149.50","1,149.50","1,147.74",156,"1,79,046.95",9,154,98.72
IRFC,NO,17-May-2017,"1,162.00","1,157.80","1,157.80","1,156.10","1,156.10","1,156.11","1,157.23","3,090","35,75,831.30",26,"3,065",99.19
IRFC,N1,18-May-2017,"1,120.50","1,116.13","1,116.13","1,116.13","1,116.13","1,116.13","1,116.13",50,"55,806.50",1,50,100.00
IRFC,N2,18-May-2017,"1,187.99","1,182.99","1,182.99","1,182.99","1,182.99","1,182.99","1,182.99",200,"2,36,598.00",1,200,100.00
IRFC,NA,18-May-2017,"1,200.89","1,200.15","1,200.15","1,195.00","1,195.00","1,195.06","1,196.19","1,001","11,97,383.60",23,"1,001",100.00
IRFC,NE,18-May-2017,"1,234.00","1,236.00","1,236.00","1,229.00","1,229.00","1,229.09","1,230.00",375,"4,61,250.00",6,375,100.00
IRFC,NI,18-May-2017,"1,082.05","1,083.05","1,083.05","1,083.05","1,083.05","1,083.05","1,083.05",50,"54,152.50",1,50,100.00
IRFC,NJ,18-May-2017,"1,134.06","1,135.00","1,140.00","1,135.00","1,140.00","1,140.00","1,135.02",201,"2,28,140.00",3,201,100.00
IRFC,NK,18-May-2017,"1,149.50","1,141.61","1,150.00","1,135.32","1,147.00","1,147.58","1,141.20","3,609","41,18,590.04",17,"2,738",75.87
IRFC,NO,18-May-2017,"1,156.11","1,156.05","1,156.05","1,155.50","1,155.50","1,155.96","1,155.96",90,"1,04,036.53",4,90,100.00
"
",,,,,,,,,,,,,,
