"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NABARD","N2","30-Aug-2018","       1125.00","       1122.05","       1130.00","       1122.05","       1130.00","       1127.50","       1122.07","        477","              535228.75","          5","        476","         99.79"
"NABARD","N2","31-Aug-2018","       1127.50","       1123.01","       1128.00","       1123.01","       1125.00","       1125.00","       1124.87","        255","              286842.30","          6","        254","         99.61"
"NABARD","N2","03-Sep-2018","       1125.00","       1123.00","       1129.90","       1123.00","       1127.00","       1126.00","       1125.28","       1701","             1914109.10","          7","       1500","         88.18"
"NABARD","N2","04-Sep-2018","       1126.00","       1125.00","       1128.00","       1125.00","       1128.00","       1127.60","       1127.18","        304","              342662.98","         11","        301","         99.01"
"NABARD","N2","05-Sep-2018","       1127.60","       1125.00","       1126.01","       1124.25","       1125.00","       1125.00","       1124.80","       1470","             1653455.94","         21","       1350","         91.84"
"NABARD","N2","06-Sep-2018","       1125.00","       1125.00","       1125.00","       1123.00","       1125.00","       1124.44","       1124.36","       1266","             1423446.00","         14","       1244","         98.26"
"NABARD","N2","07-Sep-2018","       1124.44","       1122.20","       1123.99","       1122.15","       1123.99","       1123.99","       1122.48","        220","              246944.80","          4","        150","         68.18"
"NABARD","N2","10-Sep-2018","       1123.99","       1123.90","       1124.00","       1120.75","       1120.75","       1120.75","       1121.07","        704","              789231.39","         19","        444","         63.07"
"NABARD","N2","11-Sep-2018","       1120.75","       1120.55","       1120.55","       1120.00","       1120.00","       1120.27","       1120.39","        120","              134446.50","         11","         50","         41.67"
"NABARD","N2","17-Sep-2018","       1120.27","       1120.01","       1125.00","       1120.01","       1124.80","       1124.80","       1124.24","        700","              786971.20","         14","        600","         85.71"
"NABARD","N2","18-Sep-2018","       1124.80","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","          2","                2250.00","          2","          0","          0.00"
"NABARD","N2","19-Sep-2018","       1125.00","       1125.00","       1129.00","       1121.00","       1129.00","       1129.00","       1123.06","        101","              113429.00","          5","        100","         99.01"
"NABARD","N2","21-Sep-2018","       1129.00","       1117.10","       1120.50","       1115.00","       1120.00","       1120.00","       1116.98","       2093","             2337829.70","         36","       1405","         67.13"
"NABARD","N2","24-Sep-2018","       1120.00","       1116.30","       1120.50","       1116.30","       1120.50","       1120.50","       1118.50","        210","              234885.00","          3","        110","         52.38"
"NABARD","N2","26-Sep-2018","       1120.50","       1120.50","       1120.50","       1120.50","       1120.50","       1120.50","       1120.50","        590","              661095.00","          2","        590","        100.00"
